GUID,GEOGID,GEOGDESC,PC USERS,NON-PC,BROADBAND USERS ONLY,OTHER THAN BROADBAND,NON BROADBAND,NO INTERNET,T15_2_Y,T15_2_N,T15_2_NS,T15_2_T,T15_3_B,T15_3_OTH,T15_3_N,T15_3_NS,T15_3_T,PC BELOW,PC ABOVE,BB BELOW,BB ABOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78AE611D-F9DA-4EC9-8ECE-846BFFFCA22D,CTY31_MN,Monaghan,63.91356654,36.08643346,63.01591708,9.698315751,36.98408292,27.28576717,"13,813","7,202",597,"21,612","13,619","2,096","5,346",551,"21,612",0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0CE50849-C9F9-4C13-A0CF-6F98CD58B40F,CTY31_MO,Mayo,64.58098266,35.41901734,61.08113653,11.16422197,38.91886347,27.7546415,"31,480","16,044","1,221","48,745","29,774","5,442","12,407","1,122","48,745",0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
085B854E-1C5E-440B-929F-6E375069859E,CTY31_OY,Offaly,62.75382578,37.24617422,60.37374926,12.20938788,39.62625074,27.41686286,"17,059","9,314",811,"27,184","16,412","3,319","6,708",745,"27,184",0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D3544E6-A828-4BF7-A4B5-F3C3F3A1B11B,CTY31_RN,Roscommon,64.32685085,35.67314915,59.79884818,11.54327686,40.20115182,28.65787497,"15,414","7,987",561,"23,962","14,329","2,766","6,354",513,"23,962",0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6C7D5F02-1D93-42BF-9B2E-91CE53906E32,CTY31_SD,South Dublin,72.96115507,27.03884493,83.28553029,3.119283928,16.71446971,13.59518578,"67,411","21,655","3,327","92,393","76,950","2,882","9,817","2,744","92,393",0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15F5BE96-328E-4F88-A697-4ABA7341FD94,CTY31_SO,Sligo,66.00702718,33.99297282,65.69605428,9.111102136,34.30394572,25.19284358,"16,344","7,703",714,"24,761","16,267","2,256","5,566",672,"24,761",0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F67663AB-74A6-4B8B-A2EA-C0B76AEB132B,CTY31_TY,Tipperary,63.20021669,36.79978331,60.62704203,11.64869394,39.37295797,27.72426402,"37,333","20,152","1,586","59,071","35,813","6,881","14,912","1,465","59,071",0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8256B4AB-2EBB-46EA-BCFD-E9B5DA4BFD23,CTY31_WD,Waterford City and County,66.88758486,33.11241514,68.57898976,8.32125187,31.42101024,23.09975837,"29,066","12,880","1,509","43,455","29,801","3,616","8,595","1,443","43,455",0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C26AC177-3D04-4F56-BC31-DC712289C410,CTY31_WH,Westmeath,65.84503708,34.15496292,64.74356951,10.91368155,35.25643049,24.34274893,"20,863","9,855",967,"31,685","20,514","3,458","6,832",881,"31,685",0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9E71A548-10AA-4EC4-951D-05CA74EA7337,CTY31_WW,Wicklow,73.23742475,26.76257525,75.33312927,6.94214876,24.66687073,17.72472197,"35,890","11,846","1,269","49,005","36,917","3,402","7,569","1,117","49,005",0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32E5833E-7F3A-41B8-9E25-6B1C0F021EEC,CTY31_WX,Wexford,65.37977262,34.62022738,64.43913639,10.62104211,35.56086361,24.9398215,"35,309","17,390","1,307","54,006","34,801","5,736","12,266","1,203","54,006",0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
